#{"t_start": 1776276655.5548859, "env_id": "None"}
r,l,t
-87.518571,500,2.810583
-47.926371,500,4.083796
-40.602578,500,5.895742
-64.41663,500,7.141267
-54.120508,500,8.981964
-49.2841,500,10.234035
-79.284666,500,12.102006
-30.630143,500,13.334746
-60.44484,500,15.115034
-65.388936,500,16.330858
-71.550912,500,18.088472
-63.117673,500,19.30088
-78.377934,500,21.082569
-39.001221,500,22.327189
-78.581555,500,24.146738
-83.499255,500,25.348742
-50.07234,500,27.127796
-26.959734,500,28.398306
-50.222583,500,29.884227
-46.746036,500,31.138991
-31.136243,500,32.972646
-33.91973,500,34.260988
-74.06778,500,36.032648
-45.331649,500,37.272371
2.16654,500,39.107004
-30.887885,500,40.386075
-28.243714,500,42.181301
-38.781833,500,43.413483
-32.036634,500,45.262996
-41.769327,500,46.519941
5.155548,500,48.358848
-30.274741,500,49.65319
-43.513046,500,51.48673
-46.080537,500,52.786895
-25.976619,500,54.623765
-10.195533,500,55.938618
-60.448308,500,57.789754
-77.080686,500,59.046136
-9.239403,500,60.895618
-19.806559,500,62.17054
0.914091,500,64.067481
16.977109,500,65.355793
-5.867633,500,66.628726
-10.768199,500,68.47457
2.43199,500,69.777563
2.172239,500,71.656617
20.213063,500,72.942834
-12.508987,500,74.851813
9.370804,500,76.144552
-9.355271,500,77.98867
17.809486,500,79.273927
12.863779,500,81.173734
7.117696,500,82.502961
30.521374,500,84.388324
19.915492,500,85.699733
30.675782,500,87.596759
24.4736,500,88.958558
23.914964,500,90.846084
19.866921,500,92.134825
13.094308,500,94.004536
16.469798,500,95.35376
-44.447245,500,97.28352
28.23239,500,98.629762
21.414095,500,100.568606
6.771041,500,101.869218
8.988658,500,103.775147
30.818603,500,105.096874
-19.35855,500,106.951314
16.686697,500,108.279139
17.282471,500,110.212752
36.241963,500,111.568717
22.789018,500,113.514301
23.53929,500,114.842174
28.543935,500,116.769361
8.922292,500,118.084687
7.650919,500,120.017564
24.873395,500,121.412273
-1.822824,500,123.33999
20.516029,500,124.679351
-1.966035,500,126.629077
30.985109,500,127.962406
13.238076,500,129.884395
24.016446,500,131.255426
15.46635,500,133.266162
25.769139,500,134.635575
21.512793,500,135.934134
-18.475614,500,137.90143
30.488777,500,139.305279
22.030909,500,141.242279
24.994828,500,142.595057
23.228233,500,144.581744
23.06012,500,145.93641
22.85774,500,147.901046
14.218537,500,149.231035
-25.928758,500,151.21527
18.565237,500,152.569928
22.260659,500,154.524044
13.139247,500,155.866009
17.787831,500,157.824904
10.576372,500,159.211181
18.523296,500,161.144583
24.051964,500,162.471629
27.223161,500,164.39117
-0.259061,500,165.809759
21.360801,500,167.778163
19.274101,500,169.113256
29.55952,500,171.072917
24.304072,500,172.436441
30.718039,500,174.317304
13.909371,500,175.659853
22.929541,500,177.609787
28.011035,500,178.949801
32.513526,500,180.899871
24.888951,500,182.259163
21.943157,500,184.263547
21.333691,500,185.664765
19.839801,500,187.604937
25.215048,500,188.949646
21.779021,500,190.91165
18.938767,500,192.277298
24.734891,500,194.244805
26.048837,500,195.63382
22.997956,500,197.570182
18.794017,500,198.909423
29.601211,500,200.800304
37.352341,500,202.1399
26.507716,500,204.128562
31.794721,500,205.468786
9.899387,500,206.766481
18.769881,500,208.715366
27.789585,500,210.014929
29.292645,500,212.003007
13.891826,500,213.309623
30.000923,500,215.252663
27.547936,500,216.638391
21.465288,500,218.592989
28.711886,500,219.937011
15.462813,500,221.953229
20.623616,500,223.274591
16.04256,500,225.212289
31.515316,500,226.55746
27.141816,500,228.474072
31.410819,500,229.846052
28.367067,500,231.75349
33.787868,500,233.147458
34.030038,500,235.088168
-11.874491,500,236.405736
25.766722,500,238.465897
29.425653,500,239.878415
25.68171,500,241.957597
15.86931,500,243.300031
-5.845638,500,245.25967
23.271246,500,246.609264
30.174061,500,248.59233
30.398205,500,249.956468
38.847214,500,251.891398
-17.549206,500,253.223665
34.284061,500,255.173043
35.827201,500,256.56374
30.945697,500,258.494004
28.357987,500,259.854964
40.550783,500,261.837391
32.673026,500,263.204479
25.502691,500,265.179501
19.397738,500,266.519832
23.689362,500,268.47421
28.176233,500,269.826573
35.192437,500,271.754386
21.768172,500,273.145092
30.614348,500,275.11177
23.518473,500,276.485486
