rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/std,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate
500.0,1,1526,4096,2,-48.249549875,,,,,,,,,,,
500.0,2,1415,8192,5,-51.2229861875,3.0521268770098686,0.018772515,-0.0019449990533757955,-8.834987407922744,1.0070209503173828,0.020459771156311035,1.2906216382980347,0.1657470703125,10,0.15,0.0002993856
500.0,3,1375,12288,8,-55.69444929166667,2.6471669286489488,0.016551051,-0.006434413854731247,-8.660095417499543,1.0054932832717896,0.28398752212524414,1.1105185747146606,0.3076416015625,20,0.15,0.0002987712
500.0,4,1355,16384,12,-57.83007984375,2.874222034215927,0.011291032,-0.00980242781661218,-8.692146664857864,1.0205116271972656,0.3576887845993042,1.1943418979644775,0.19638671875,30,0.15,0.00029815679999999994
500.0,5,1352,20480,15,-55.57967765000001,3.222417528927326,0.011078444,-0.005419236120360438,-8.742422831058501,1.021016001701355,0.44348371028900146,1.3676362037658691,0.1419921875,40,0.15,0.0002975424
500.0,6,1352,24576,18,-54.87369104166667,3.2690889671444894,0.011377369,-0.011856177609297447,-8.734106129407882,1.015825629234314,0.5956169366836548,1.2789281606674194,0.195458984375,50,0.15,0.00029692799999999996
500.0,7,1348,28672,21,-53.91025701785715,3.48327041815405,0.041662,-0.0016203197038234913,-8.828144066954312,1.0027843713760376,0.6868885159492493,1.5546716451644897,0.2878585188356164,60,0.15,0.00029631359999999997
500.0,8,1346,32768,24,-53.363086234375004,4.362341327965259,0.009957923,-0.0015981811724486762,-8.998741096258163,1.0132945775985718,0.6113733053207397,1.9290438890457153,0.1145751953125,70,0.15,0.0002956992
500.0,9,1343,36864,27,-53.56395725,5.0054857224226,0.017770693,-0.0026067275495734064,-8.992180073261261,0.9985582232475281,0.5579769611358643,2.663994073867798,0.2570556640625,80,0.15,0.0002950848
500.0,10,1353,40960,30,-52.90898180000001,4.636845287523772,0.025625072,-0.003178074057295657,-9.141958420736747,0.9976617693901062,0.6751721501350403,2.1853795051574707,0.22615131578947367,84,0.15,0.0002944704
500.0,11,1348,45056,33,-51.65322115909091,5.439001873135567,0.008574963,-0.009802996368671301,-9.214080560207368,0.999518871307373,0.6029703617095947,3.1733298301696777,0.1880859375,94,0.15,0.00029385599999999995
500.0,12,1347,49152,36,-51.08183251041667,4.098817256093025,0.016036408,-0.008374744051252492,-9.273007214069366,0.9921807646751404,0.7012381553649902,1.7506201267242432,0.2272216796875,104,0.15,0.00029324159999999995
500.0,13,1342,53248,39,-50.176313310000005,4.870767629146576,0.0063071395,-0.005458184535382315,-9.266793382167815,0.9975572228431702,0.7300685048103333,2.152153968811035,0.095703125,114,0.15,0.00029262719999999996
500.0,14,1340,57344,42,-50.053259450000006,6.229346272349358,0.010899292,-0.011217262347054202,-9.428012597560883,0.9929954409599304,0.6423038244247437,3.199057102203369,0.172802734375,124,0.15,0.00029201279999999997
500.0,15,1337,61440,45,-47.51884486,4.692366507649422,0.011162531,-0.006411157207912766,-9.48547609448433,0.9859936237335205,0.6594709157943726,2.2810752391815186,0.1663818359375,134,0.15,0.0002913984
500.0,16,1333,65536,49,-45.20395469000001,4.510394649207592,0.014731904,-0.017605130246374757,-9.7050661444664,0.9808471202850342,0.6323055028915405,1.9319993257522583,0.2694091796875,144,0.15,0.000290784
500.0,17,1330,69632,52,-42.88427865,5.462997531890869,0.010886962,-0.017463617224711923,-9.82901926636696,0.975727379322052,0.6891640424728394,2.3521242141723633,0.2119140625,154,0.15,0.0002901696
500.0,18,1326,73728,55,-40.84216284000001,4.435222965478897,0.0048132576,-0.008164499975100626,-9.856281536817551,0.9739107489585876,0.6653527021408081,2.0536139011383057,0.1273681640625,164,0.15,0.0002895552
500.0,19,1325,77824,58,-39.33515452,4.679994586110115,0.011233453,-0.00853110713796923,-9.916433215141296,0.9537470936775208,0.7407922148704529,2.204183340072632,0.2769287109375,174,0.15,0.00028894079999999996
500.0,20,1322,81920,61,-36.88910545,4.389696149528026,0.010282721,-0.014817473242874257,-9.850458312034608,0.9497520327568054,0.6644571423530579,2.293825626373291,0.162939453125,184,0.15,0.00028832639999999996
500.0,21,1319,86016,65,-30.590212259999998,4.36238252967596,0.011194943,-0.016975320604979062,-9.84980013370514,0.9436101913452148,0.6524986028671265,1.944506287574768,0.2141357421875,194,0.15,0.00028771199999999997
500.0,22,1317,90112,68,-27.06004546,3.7409213483333588,0.011853531,-0.014576364748063498,-9.848899269104004,0.9274598956108093,0.5952264070510864,1.7407584190368652,0.2032470703125,204,0.15,0.0002870976
500.0,23,1315,94208,71,-23.76125638,3.0233604282140734,0.011975371,-0.013933603778423276,-9.759033125638961,0.9338728785514832,0.7006978988647461,1.6578830480575562,0.19501953125,214,0.15,0.0002864832
500.0,24,1313,98304,74,-19.81495161,3.182400046288967,0.007934312,-0.014533761114580556,-9.817675584554673,0.9185891151428223,0.7001508474349976,1.213384747505188,0.1566162109375,224,0.15,0.00028586879999999994
500.0,25,1311,102400,78,-17.00426252,3.0656894728541375,0.00968956,-0.015970463764097075,-9.800223684310913,0.9186719059944153,0.7088040113449097,1.4653922319412231,0.17509765625,234,0.15,0.0002852544
500.0,26,1309,106496,81,-12.493102790000002,3.0522626295685766,0.009366036,-0.01383633415098302,-9.735043340921402,0.9143459796905518,0.8129352331161499,1.4656407833099365,0.1586181640625,244,0.15,0.00028463999999999996
500.0,27,1307,110592,84,-8.27172059,2.4349240072071554,0.008843463,-0.010610300017287955,-9.710103964805603,0.9155843257904053,0.8167908191680908,1.225927710533142,0.1457763671875,254,0.15,0.00028402559999999997
500.0,28,1304,114688,87,-4.327917739999998,2.1782869674265384,0.009346878,-0.01477600482176058,-9.772846359014512,0.9075214266777039,0.8309308290481567,1.0024044513702393,0.237109375,264,0.15,0.0002834112
500.0,29,1303,118784,91,-1.12388947,2.022901377081871,0.010200832,-0.014333955469192005,-9.653027665615081,0.8964242935180664,0.7863085269927979,1.002973198890686,0.1759033203125,274,0.15,0.0002827968
500.0,30,1300,122880,94,1.8260261399999995,2.068054997175932,0.01073642,-0.019230612774845213,-9.637572824954987,0.8830373883247375,0.8052493333816528,0.8638873100280762,0.1852783203125,284,0.15,0.0002821824
